Predicted Value,True Value,Timestamp,Stake,Payout
True,False,1703902500,0.8,0.0
True,True,1703902800,0.8,1.3319365636319078
True,True,1703903100,0.8,1.6758633606045785
True,False,1703903400,0.8,0.0
False,False,1703903700,0.8,1.5261857255618405
True,False,1703904000,0.8,0.0
False,False,1703904300,0.8,1.861185777260123
True,False,1703904600,0.8,0.0
False,False,1703904900,0.8,1.5715989376841708
True,True,1703905200,0.8,1.5488208202601161
True,True,1703905500,0.8,1.4652862143662322
False,True,1703905800,0.8,0.0
True,False,1703906100,0.8,0.0
True,False,1703906400,0.8,0.0
True,False,1703906700,0.8,0.0
False,False,1703907000,0.8,2.101053652179122
False,True,1703907300,0.8,0.0
True,True,1703907600,0.8,1.642225471194241
True,True,1703907900,0.8,1.6664508598441274
False,True,1703908200,0.8,0.0
False,True,1703908500,0.8,0.0
True,False,1703908800,0.8,0.0
False,True,1703909100,0.8,0.0
True,True,1703909400,0.8,1.6359049942969635
True,False,1703909700,0.8,0.0
False,True,1703910000,0.8,0.0
False,False,1703910300,0.8,1.5443400384529382
True,False,1703910600,0.8,0.0
False,True,1703910900,0.8,0.0
False,True,1703911200,0.8,0.0
False,True,1703911500,0.8,0.0
True,False,1703911800,0.8,0.0
False,False,1703912100,0.8,1.7897387260645938
False,True,1703912400,0.8,0.0
False,True,1703912700,0.8,0.0
False,False,1703913000,0.8,1.6194042036701952
True,False,1703913300,0.8,0.0
False,True,1703913600,0.8,0.0
False,False,1703913900,0.8,1.709428295669578
False,False,1703914200,0.8,1.6884426731837836
True,True,1703914500,0.8,1.672112634738607
True,True,1703914800,0.8,1.6585484582708032
False,False,1703915100,0.8,1.5685975343230265
False,True,1703915700,0.8,0.0
True,False,1703916000,0.8,0.8
False,False,1703916300,0.8,1.702434317471934
True,True,1703916600,0.8,1.5821906984227008
False,False,1703916900,0.8,1.6197876506902509
True,False,1703917200,0.8,0.0
False,False,1703917500,0.8,1.645884015201671
False,True,1703917800,0.8,0.0
False,True,1703918100,0.8,0.0
True,True,1703918400,0.8,1.6061400206525136
False,False,1703918700,0.8,1.657512057747131
False,True,1703919000,0.8,0.0
False,False,1703919300,0.8,1.7128972218976366
False,False,1703919600,0.8,1.697063914456634
False,True,1703919900,0.8,0.0
False,True,1703920200,0.8,0.0
True,True,1703920500,0.8,1.5517446104705703
False,True,1703920800,0.8,0.0
True,False,1703921400,0.8,0.0
False,False,1703921700,0.8,1.5441548607261795
False,False,1703922000,0.8,1.7574042555619875
False,False,1703922300,0.8,1.6045514319047964
True,False,1703922600,0.8,0.0
False,False,1703922900,0.8,1.6903220018866971
False,False,1703923200,0.8,1.7327527337052115
False,False,1703923500,0.8,1.743545752433317
False,True,1703923800,0.8,0.0
True,False,1703924100,0.8,0.0
False,False,1703924400,0.8,1.540900559514499
False,False,1703924700,0.8,1.6080037665743985
False,False,1703925000,0.8,1.6365273754675238
False,False,1703925300,0.8,1.570264443580497
False,False,1703925600,0.8,1.790204293908988
True,False,1703925900,0.8,0.0
True,False,1703926200,0.8,0.0
False,False,1703926500,0.8,1.76154373501192
False,False,1703926800,0.8,1.6631532346868154
False,True,1703927100,0.8,0.0
False,False,1703927400,0.8,1.6564563124233629
True,False,1703927700,0.8,0.0
False,True,1703928000,0.8,0.0
True,True,1703928300,0.8,1.6164072239905374
False,False,1703928600,0.8,1.5557526107343158
False,True,1703928900,0.8,0.0
False,False,1703929200,0.8,1.8060437606849316
False,False,1703929500,0.8,1.796239829899008
True,True,1703929800,0.8,1.5222754511367156
False,True,1703930100,0.8,0.0
True,True,1703930400,0.8,1.593042132257492
True,True,1703930700,0.8,1.5677413159821914
True,False,1703931000,0.8,0.0
False,True,1703931300,0.8,0.0
